time,load_kW
00:00,70.9
00:15,70.4
00:30,69.6
00:45,69.1
01:00,68.9
01:15,69.0
01:30,66.5
01:45,65.5
02:00,63.6
02:15,63.7
02:30,63.1
02:45,62.9
03:00,62.1
03:15,62.2
03:30,62.8
03:45,63.8
04:00,65.7
04:15,65.8
04:30,65.3
04:45,61.6
05:00,61.1
05:15,59.7
05:30,63.2
05:45,82.8
06:00,79.9
06:15,79.4
06:30,79.3
06:45,80.0
07:00,81.2
07:15,82.4
07:30,80.0
07:45,87.7
08:00,93.4
08:15,123.1
08:30,164.7
08:45,164.4
09:00,168.4
09:15,171.7
09:30,180.1
09:45,177.3
10:00,183.2
10:15,183.9
10:30,156.6
10:45,122.0
11:00,123.1
11:15,121.8
11:30,119.2
11:45,120.9
12:00,121.4
12:15,119.5
12:30,115.5
12:45,116.8
13:00,124.4
13:15,178.6
13:30,184.5
13:45,196.5
14:00,202.7
14:15,202.4
14:30,194.3
14:45,190.1
15:00,185.4
15:15,183.6
15:30,181.7
15:45,182.0
16:00,177.8
16:15,169.1
16:30,160.0
16:45,155.4
17:00,113.0
17:15,103.9
17:30,104.8
17:45,120.5
18:00,116.3
18:15,108.6
18:30,99.2
18:45,100.2
19:00,99.3
19:15,96.0
19:30,98.2
19:45,95.4
20:00,98.1
20:15,94.2
20:30,92.7
20:45,75.4
21:00,76.2
21:15,73.1
21:30,75.3
21:45,76.7
22:00,75.0
22:15,74.6
22:30,73.4
22:45,73.9
23:00,73.5
23:15,74.2
23:30,72.6
23:45,72.5
