time,load_kW
00:00,67.01
00:30,66.20
01:00,64.99
01:30,61.79
02:00,63.14
02:30,58.32
03:00,58.79
03:30,58.19
04:00,59.62
04:30,59.00
05:00,60.00
05:30,56.78
06:00,71.17
06:30,75.21
07:00,71.99
07:30,72.92
08:00,79.30
08:30,124.75
09:00,117.86
09:30,135.89
10:00,135.37
10:30,151.75
11:00,148.55
11:30,146.10
12:00,148.91
12:30,93.09
13:00,76.81
13:30,98.24
14:00,101.61
14:30,129.09
15:00,131.40
15:30,101.51
16:00,100.38
16:30,100.78
17:00,77.76
17:30,69.63
18:00,72.58
18:30,70.90
19:00,94.54
19:30,92.41
20:00,92.03
20:30,90.94
21:00,71.74
21:30,73.61
22:00,76.69
22:30,74.96
23:00,75.36
23:30,71.42
